番号,タイトル,カテゴリ推定,MXL有無,音源有無,備考
056,Elvis Presley - Can't Help Falling In Love (Official Audio),洋楽,,,
057,【AKASAKI】Bunny Girl（Lyric Video）,,,,
058,【重音テトSV】She Taught Me To Yodel（スイスの娘）,ボカロ,,,
059,Platinum Disco - Nisemonogatari OP 3 | 白金ディスコ - 偽物語  ( Lyrics Romaji ),アニメ,,,
060,Attack on Titan Season 2 Opening Movie｜Linked Horizon「Shinzou wo Sasageyo!」,,,,
061,Attack on Titan The Final Season Part 2 Ending｜Akuma no Ko（a child of evil） - Ai Higuchi,,,,
062,Attack on Titan Season 3 Part 1 Ending Movie｜Linked Horizon「Akatsuki no Chinkonka」,,,,
063,二千年... 若しくは... 二万年後の君へ・・・,,,,
064,Glossy:MMM,,,,
065,"ハイスクールD×D OP,ED アニソンメドレー High School DxD Anime Songs Full 惡魔高校D×D 漫歌曲",アニメ,,,
066,[歌ってみた] Trip Innocent of D (ハイスクールD×D OP) [NAM],アニメ,,,
067,バトルフロンティア,,,,
068,YOASOBI「群青」Official Music Video,J-POP,,,
069,YOASOBI「もう少しだけ」Official Music Video,J-POP,,,
070,【マキシマムザホルモン】 ぶっ生き返す ギター 【歌詞付き】,,,,
071,【MAD】 Bu-ikikaesu!! 【Maximum The Hormone】,,,,
072,[Deleted video],,,,削除/非公開
073,[Deleted video],,,,削除/非公開
074,Don't Stop Me Now - Queen (Lyrics),洋楽,,,
075,Queen - Don't Stop Me Now (Official Video),洋楽,,,
076,BUMP OF CHICKEN「アルエ」,J-POP,,,
077,【Official】Pokmon Special Music Video 「GOTCHA！」 | BUMP OF CHICKEN - Acacia,アニメ,,,
078,BUMP OF CHICKEN「Tentaikansoku」,J-POP,,,
079,『トンデモワンダーズ』feat.初音ミク (+KAITO)  / sasakure.UK,ボカロ,,,
080,きゅうくらりん / いよわ feat.可不（Kyu-kurarin / Iyowa feat.Kafu）,ボカロ,,,
081,Zundamon Sings 'Only My Railgun' from A Certain Scientific Railgun!,,,,
082,"""Cagayake! GIRLS"" - K-ON! Cover by Zundamon  | Voiceroid Vocaloid Karaoke",,,,
083,[Deleted video],,,,削除/非公開
084,Death Note Opening 1 - The World -「ＡＭＶ」,アニメ,,,
085,Australian Patriotic Song: Waltzing Matilda,,,,
086,"""Waltzing Matilda"" Cowan/Paterson, arr. O'Leary | Australian Boys Choir (Nick Dinopoulos) (2018)",,,,
087,Oasis - Don't Look Back In Anger (Official Video),洋楽,,,
088,W-B-X ～W-Boiled Extreme～,,,,
089,仮面ライダーオーズ/OOO「Anything Goes!」ＯＰ／ＦＵＬＬ／歌詞あり,,,,
090,【伝説のV系バンド】heaven - 堕天使たちの夕餉【2nd & Last single】,,,,
091,Sing (1994 Remix),,,,
092,SING (シング) ／ CARPENTERS,,,,
093,Carpenters - Close to you,洋楽,,,
094,【AIきりたんカバー】only my railgun / fripside,ボカロ,,,
095,はじまり　木下牧子,,,,
096,"【MAD】ホリミヤ×色香水 1,2話振り返り #55",,,,
097,ミックスナッツ／Official髭男dism／ギター弾き語り練習用動画（コード／ストローク／歌詞）,J-POP,,,
098,JOJO MEGALOVANIA,アニメ,,,
099,東北きりたん『サウダージ / ポルノグラフィティ』,ボカロ,,,
100,東北きりたん『ロビンソン / スピッツ』,ボカロ,,,
101,東北きりたん『空も飛べるはず』,ボカロ,,,
102,東北きりたん『アゲハ蝶』,ボカロ,,,
103,坂本九  明日があるさ,,,,
104,坂本九  明日があるさ,,,,
105,【魔法少女まどか☆マギカOP】コネクト / ClariS 【AIきりたんカバー】,ボカロ,,,
106,"Hanazawa Kana - KIMINO SHIRANAI MONOGATARI from CrosSing/TV Anime ""BAKEMONOGATARI"" ED Theme",アニメ,,,
107,夏色 - ゆず（フル）,,,,
108,【初音ミク】Ievan Polkka【Project DIVA ドリーミーシアター】,ボカロ,,,
109,[Private video],,,,削除/非公開
110,only my railgun.ver磯田怜【歌ってみた】,,,,
111,ひとりぼっちじゃない/coba & 宮沢和史  今日のハーモニカ,,,,
112,"#AIきりたん に""アゲハ蝶""を歌ってもらった。",ボカロ,,,
113,【AIきりたんカバー】るるちゃんの自殺配信【NEUTRINO】,ボカロ,,,
114,190914 7 愛知県名古屋市立牧の池中学校,,,,
115,#AIきりたん  にメリッサを歌ってもらった。,ボカロ,,,
116,東北きりたん『メリッサ / ポルノグラフィティ』,ボカロ,,,
117,粗品『怪獣少女は火を吹かない』feat. 初音ミク,ボカロ,,,
118,デレ化現象100％-初音ミク for lamazeP,ボカロ,,,
119,愛の詩（V3）-初音ミク for lamazeP,ボカロ,,,
120,Lee Suhyun () - Top Of The World | Begin Again 3 ( 3),,,,
121,【AIきりたん】スマイル／森七菜【オロナミンC】,ボカロ,,,
122,[AIきりたん]スピッツ”桃”カバー　東北姉妹が歌います[NEUTRINO],ボカロ,,,
123,【歌い方】残響散歌 / Aimer（難易度A）【鬼滅の刃 遊郭編】【歌が上手くなる歌唱分析シリーズ】,アニメ,,,
124,【AIきりたん】Ievan Polkka(ロイツマ)【NEUTRINOカバー】,ボカロ,,,
125,みんなみくみくにしてあげる♪,,,,
126,悪魔の子,,,,
127,違う、そうじゃない,,,,
128,低音厨音域テスト“合格”した,,,,
129,I asked Black to take on the challenge!!,,,,
130,Attack on Titan The Final Season Part 2 Opening｜The Rumbling - SiM,,,,
131,[Private video],,,,削除/非公開
132,【AI Kiritan】Skkijrven polkka【Japanese ver】,,,,
133,aiきりたんがドイツ国歌を歌った。（日本語吹き替え）,ボカロ,,,
134,風になる / つじあやの,,,,
135,[AIきりたん]秒針を噛む[ずっと真夜中でいいのに],ボカロ,,,
136,back number - ハッピーエンド (full),J-POP,,,
137,"サザンオールスターズ - 東京VICTORY [Live at DOME, 2015]",J-POP,,,
138,[AIきりたん]ロビンソン[スピッツ],ボカロ,,,
139,[AIきりたん]夜に駆ける[NEUTRINO],ボカロ,,,
140,奥田民生「イージュー★ライダー」OFFICIAL MUSIC VIDEO,,,,
141,[Deleted video],,,,削除/非公開
142,Gawr Gura sings Country Roads,,,,
143,あいみょん  君はロックを聴かない 【AIMYON TOUR 2019 -SIXTH SENSE STORY- IN YOKOHAMA ARENA】,J-POP,,,
144,夜明けをくちずさめたら / 上白石萌音〔女声3部合唱〕,クラシック,,,
145,【初音ミク】夜に駆ける / YOASOBI【cover】,ボカロ,,,
146,【創聖のアクエリオン】伝説のアニソン！歌い方を本人に教えてもらう神回。【AKINO from bless4】,,,,
147,Les Misrables | Do You Hear the People Sing?,,,,
148,BLOODY STREAM,,,,
149,【キラッ☆】祝10周年！ 星間飛行 歌ってみた(生歌) - YuNi 【マクロスF / ランカ・リー】,,,,
150,【初投稿】ロキ　【ベース】【弾いてみた】,,,,
151,現役女子高生が「ないものねだり」のベース弾いてみた！ 【JK２】,,,,
152,夜に駆ける／YOASOBI／ギターコード,J-POP,,,
153,Macross F OP Lion マクロスF ライオン ベース弾いてみた,アニメ,,,
154,Fami。『べ ぇすかぁにばる』Music Video,,,,
155,『戦闘！デオキシス』(ORAS),,,,
156,『悠久を継ぎし者たち』(ORAS),,,,
157,『流星哀歌』(ORAS),,,,
158,Fly me to the moon（Cover）,,,,
159,【ロードバイク】手先と足先の防寒対策,,,,
160,【AIきりたん】サウダージ Remix / ポルノグラフィティ（Song by AIきりたん）,ボカロ,,,
161,【AIきりたん】サウダージ Remix / ポルノグラフィティ（Song by AIきりたん）,ボカロ,,,
162,Turkish March - FML ＼(^o^)／ feat. Garuna(OwataP) (Miku Hatsune),,,,
163,ONE OK ROCK 「完全感覚Dreamer」,,,,
164,宙 -そら-,,,,
165,AIきりたんによるロシア連邦国歌 (我ら祖国のために 日本語吹替版）,ボカロ,,,
166,Journey through the Decade,,,,
167,B'z / ultra soul,,,,
168,シンオウ組曲／Sinnoh Suites (Pokmeon DP Melody Piano Sheet Music),,,,
169,夏めく坂道,,,,
170,Undulation,,,,
171,It's My Life,,,,
172,Bon Jovi - It's My Life (Official Music Video),洋楽,,,
173,【 ドラゴンクエスト Ⅷ「序曲」】エレクトーン演奏,アニメ,,,
174,Fly Me To The Moon (2008 Remastered),,,,
175,Rererepeat,,,,
176,宝鐘マリン船長から教わる名曲　サウダージ　ポルノグラフティ,,,,
177,PORNOGRAFFITTI『Agehachou』MUSIC VIDEO,,,,
178,アゲハ蝶,,,,
179,星間飛行,,,,
180,創聖のアクエリオン - AKINO（フル）,,,,
181,創聖のアクエリオン,,,,
182,スマイル,,,,
183,MY ETERNAL DREAM,,,,
184,SHINE IN THE DARK,,,,
185,RISE ABOVE IT,,,,
186,LOST WITHOUT A TRACE,,,,
187,FEEDING THE FIRE,アニメ,,,
188,IN MY LINE OF WORK,,,,
189,MAN IN THE MIRROR,,,,
190,FEW ARE THOSE,,,,
191,FIRE IN YOUR EYES,,,,
192,THE LOST SAGA,,,,
193,心のアンテナ,,,,
194,結婚なんてさパッパヤー,,,,
195,Koichi Morita - Burning Heart,,,,
196,倦怠ライフリターンズ　キョン×キョン子　合わせてみた,,,,
197,ハレ晴レユカイ　キョン＆キョン子　デュエット,,,,
198,【初うｐ！】ハレ晴レユカイ　キョン子ver.,,,,
199,恋愛サーキュレーション,,,,
200,ハレ晴レユカイ,,,,
201,DADDY ! DADDY ! DO !,,,,
202,ラブ・ドラマティック,,,,
203,【LIVE】鈴木雅之『ラブ・ドラマティック feat. 伊原六花』TVアニメ「かぐや様は告らせたい～天才たちの恋愛頭脳戦～」OP主題歌,アニメ,,,
204,見つけてHappy Life,,,,
205,[Deleted video],,,,削除/非公開
206,Fly Me to the Moon,,,,
207,残酷な天使のテーゼ,,,,
208,みちしるべ,,,,
209,エイミー,,,,
210,ありがとう、だいすき,,,,
211,恋愛サーキュレーション,,,,
212,世界に一つだけの花 鶴屋さん,,,,
213,Easy Guitar Lesson - Day Tripper/The Beatles - tutorial,洋楽,,,
214,Day Tripper (Remastered 2009),,,,
215,The Beatles - Day Tripper (Official Video),洋楽,,,
216,PUFFY「これが私の生きる道」OFFICIAL MUSIC VIDEO,,,,
217,ウ”ィ”エ”,,,,
218,忙しい人のための　「青春いいじゃないかっ」,,,,
219,Tsuruya san; Megassa Koukishin  ／鶴屋さん「めがっさ好奇心」,,,,
220,【MV】シル・ヴ・プレジデント／P丸様。【大統領になったらね！】,,,,
221,ロシア連邦国歌 歌詞 邦訳例 - Anthem Russia,,,,
222,【日本語字幕】ソヴィエト社会主義共和国連邦国歌(ソ連国歌),,,,
223,撲殺天使ドクロちゃん,,,,
224,僕殺天使ドクロちゃん,,,,
225,[Deleted video],,,,削除/非公開
226,ナラタージュ - From THE FIRST TAKE,,,,
227,イギリス 旧国歌（1952-2022）「女王陛下万歳」（God save the Queen）日本語訳/National Anthem of the United Kingdom,洋楽,,,
228,It's a Beautiful Day,,,,
229,[Deleted video],,,,削除/非公開
230,雪、無音、窓辺にて。,,,,
231,すろぉもぉしょん,,,,
232,縄文炸裂ガール -れるりり feat 初音ミク&GUMI / Joumon Explosion Girl - rerulili feat miku&gumi,ボカロ,,,
233,Suzumiya Haruhi no Yuutsu - えっとリターンズしてリベンジ! by Mikuru【高音質】,,,,
234,"Aya Uchida - Sign | TV anime ""The Quintessential Bride / Gotoubun no Hanayome"" ending theme song",アニメ,,,
235,Acacia,,,,
236,Sign,,,,
237,甲賀忍法帖,,,,
238,五等分の気持ち,,,,
239,瑠璃色の地球,,,,
240,バッハ　主よ人の望みの喜びよ,クラシック,,,
241,Goodbye Declaration / Chinozo,,,,
242,HIROMI GO - 240000000 No Hitomi -Exotic Japan- / THE FIRST TAKE,,,,
243,ANIMA - From THE FIRST TAKE,,,,
244,Usseewa,,,,
245,君じゃなきゃダメみたい,,,,
246,１・２・３,,,,
247,Lillie's Theme (リーリエのテーマ) Remix,,,,
248,「甲賀忍法帖」（MV）,,,,
249,雨宮天 『PARADOX』Music Video(short ver.),,,,
250,School Days-悲しみの向こうへ(原文歌詞、中文填詞),,,,
251,School Days-悲しみの向こうへ(原文歌詞、中文填詞),,,,
252,【スクール】イノセントブルーをベースで弾くより誠氏ね【デイズ】,,,,
253,Innocent Blue (Sekai & Kotonoha Ver.),,,,
254,School Days-ワルツ(原文歌詞、中文填詞),,,,
255,DeviceHigh - Innocent Blue (full),,,,
256,"大石昌良 ""君じゃなきゃダメみたい"" (Official Live Video)",,,,
257,君じゃなきゃダメみたい  /  オーイシマサヨシ,,,,
258,恋は渾沌の隷也　歌詞付き,,,,
259,【アイナ・ジ・エンド(BiSH) - オーケストラ】唯一無二の歌声。THE FIRST TAKEに最高のボーカリストが降臨。【リアクション動画】,クラシック,,,
260,Sora Amamiya - PARADOX / THE FIRST TAKE,,,,
261,AiNA THE END - Kinmokusei / THE FIRST TAKE,,,,
262,AiNA THE END - Orchestra / THE FIRST TAKE,,,,
263,グランドエスケープ RADWIMPS feat.三浦透子 「天気の子」 弾き語り/cover 歌詞&コード付き 原キー カポ4 Grand escape   chakotan,J-POP,,,
264,Search for the Girl (謎の少女、再び)  Music Box Remix,,,,
265,Sootopolis City (ルネシティ) Music Box Remix,,,,
266,しまなみ海道　初心者でもいける２泊３日の旅,,,,
267,Sacred world,,,,
268,Pokmon + ポストに声を投げ入れて + [AMV],アニメ,,,
269,Pokmon + ポストに声を投げ入れて + [AMV],アニメ,,,
270,涼宮ハルヒの記憶「wonder trip」　高音質　歌詞付き,アニメ,,,
271,バッハ　主よ人の望みの喜びよ,クラシック,,,
272,"Bach - Air on the G String (Orchestral Suite No. 3 in D, BWV 1068) [THE END OF EVANGELION]",クラシック,,,
273,"Bach - Air on the G String (Orchestral Suite No. 3 in D, BWV 1068) [THE END OF EVANGELION]",クラシック,,,
274,Ahoy!! 我ら宝鐘海賊団☆,,,,
275,Ahoy!! 我ら宝鐘海賊団☆,,,,
276,混声合唱のための「あぁ～！水素の音ォ～！！」12人で歌ってみた,クラシック,,,
277,響 -こえ-,,,,
278,響 -こえ-,,,,
279,森山直太朗 うんこ,,,,
280,森山直太朗 うんこ,,,,
281,Aimyon - Marigold [OFFICIAL MUSIC VIDEO],J-POP,,,
282,King Gnuをより楽しみたい人へ,J-POP,,,
283,King Gnu - 白日,J-POP,,,
284,aiko- 『Kabutomushi』music video,,,,
285,aiko- 『Kabutomushi』music video,,,,
286,What is the Department of Mathematics in the Faculty of Science? Who is it suited to and who isn'...,,,,
287,SELECT？長門有希,,,,
288,ハレ晴レユカイ～Ver.涼宮ハルヒ～,アニメ,,,
289,ハレ晴レユカイ～Ver.涼宮ハルヒ～,アニメ,,,
290,涼宮ハルヒの記憶　「BE BE BEAT!」　歌詞付き　高音質,アニメ,,,
291,涼宮ハルヒの記憶　「だって地球が回るから」　歌詞付き　高音質,アニメ,,,
292,らき☆すた OP もってけ！セーラーふく  [HD],アニメ,,,
293,[Private video],,,,削除/非公開
294,ハレ晴レユカイ　harehareyukai (フル ダンス　歌詞付き),,,,
295,最強パレパレード　高音質,,,,
296,Credens Justitiam (cover. Shannon),,,,
297,恋のみくる伝説　原曲,,,,
298,SOSならだいじょーぶ,,,,
299,ZUTOMAYO - MILABO (Music Video),,,,
300,青春いいじゃないかっ,,,,
301,Let's sing the Ninth Symphony in German! / Includes furigana. #Ode to Joy #Ode to Joy *This lesso...,,,,
302,"ベートーヴェン 第9 合唱 『歓喜の歌』訳詞付 Choral ""Ode to Joy"" Beethoven",クラシック,,,
303,涼宮ハルヒの憂鬱 ハレ晴レユカイ 朝倉涼子 バージョン,アニメ,,,
304,涼宮ハルヒの憂鬱 ハレ晴レユカイ 鶴屋さん バージョン,アニメ,,,
305,Mrs. GREEN APPLE - 春愁,,,,
306,福が来たりて風が吹く,,,,
307,Tsuruya san; Hare Hare Yukai  ／鶴屋さん「ハレ晴レユカイ」,,,,
308,フレ降レミライ (鶴屋さんver.),,,,
309,窓辺の予感,,,,
310,涼宮ハルヒの憂鬱　ＥＤ　止マレ！ （高音質）,アニメ,,,
311,[ 涼宮ハルヒの憂鬱]super driver　FULL　(歌詞有り),アニメ,,,
312,雪、無音、窓辺にて。 長門有希 （茅原実里）,,,,
313,佐良直美：『世界は二人のために』,,,,
314,足立佳奈 - ひとりよがり / THE FIRST TAKE,,,,
315,[Private video],,,,削除/非公開
316,第19回 新しい事業内容の決め方と注意点【マネして小さく始める】【稼ぐ 実践編】,,,,
317,ロザリーナ 『えんとつ町のプペル』Music Video,,,,
318,adieu [ 花は揺れる ],,,,
319,adieu - 天気 / THE FIRST TAKE,,,,
320,adieu [ よるのあと ],,,,
321,チェバの定理とメネラウスの定理の本質,,,,
322,back number - 高嶺の花子さん (full),J-POP,,,
323,高畑充希が歌う「デイ・ドリーム・ビリーバー」PV映像／映画『ひるね姫』主題歌,,,,
324,adieu  - ナラタージュ / THE FIRST TAKE,,,,
325,Queen  Bohemian Rhapsody (Official Video Remastered),洋楽,,,
326,【 おジャ魔女カーニバル!! 】エレクトーン演奏,,,,
327,DECO*27 - Ghost Rule feat. Hatsune Miku,,,,
328,恋愛サーキュレーション - 花澤香菜（フル）,,,,
329,the peggies「センチメートル」Music Video,,,,
330,「スイミー」MUSIC VIDEO / Every Little Thing,,,,
331,My Way (2008 Remastered),,,,
332,【MV】鈴木雅之『DADDY ! DADDY ! DO ! feat. 鈴木愛理』TVアニメ「かぐや様は告らせたい？～天才たちの恋愛頭脳戦～」OP主題歌,アニメ,,,
333,Masayuki Suzuki - DADDY !DADDY ! DO ! feat. Airi Suzuki / THE FIRST TAKE,,,,
334,"ポルノグラフィティ『サウダージ』(""OPEN MUSIC CABINET""LIVE IN SAITAMA SUPER ARENA 2007 )  /『Saudade(Live Ver.)』",アニメ,,,
335,NayutalieN - Alien Alien (ft. Hatsune Miku) [Official Music Video],,,,
336,For The First Time In Forever　生まれてはじめて～英語ver～歌詞付き,,,,
337,叫んで、喋って、楽しく Let It Go を歌ってみた by詩人【伝説の始まり】,,,,
338,群青,,,,
339,脱げばいいってモンじゃない！（完全版）【MMD-PV】,,,,
340,脱げばいいってモンじゃない！（完全版）【MMD-PV】,,,,
341,叫んで、喋って、楽しく Let It Go を歌ってみた by詩人,,,,
342,Luciano Pavarotti: 'Torna A Surriento',,,,
343,帰れソレントへ Torna a Surriento 楽譜 C,,,,
344,【初音ミク】帰れソレントへ（Torna a Surriento）,ボカロ,,,
345,Instant Heaven feat.Eve / nanawoakari,,,,
346,Torna a Sorrento (帰れソレントへ) / De Curtis / 日本語歌詞付,,,,
347,『ロシア連邦国歌』（Russian Federation National Anthem）（ピアノ楽譜）,,,,
348,ロシア人が日本語で歌う「ロシア国歌」- Гимн Российской Федерации на японском языке,,,,
349,【日本語字幕】ロシア連邦国歌,,,,
350,Queen - We Are The Champions (Official Video),洋楽,,,
351,Gen Hoshino - Tokiyo (Official Video),,,,
352,Aimyon - Marshmallow [OFFICIAL MUSIC VIDEO],J-POP,,,
353,Aimyon - Her Blue Sky [OFFICIAL MUSIC VIDEO],J-POP,,,
354,Aimyon - Her Blue Sky [movie ver.],J-POP,,,
355,Top Of The World (Single Mix),,,,
356,カーペンターズ　トップオブザワールド　The Carpenters　HQ,洋楽,,,
357,サザエさん一家,,,,
358,[Deleted video],,,,削除/非公開
359,[Deleted video],,,,削除/非公開
360,東京事変 - 群青日和,,,,
361,YOASOBI「ハルジオン・Halzion」Official Music Video,J-POP,,,
362,【MAD】進撃の巨人OP　紅蓮の弓矢歌詞付き,アニメ,,,
363,Les Champs-lyses(オー・シャンゼリゼ)/ダニエル・ビダル（歌詞付）,,,,
364,幾田りら インスタライブ 20190801,,,,
365,Aimyon - Her Blue Sky [OFFICIAL MUSIC VIDEO],J-POP,,,
366,The Vamps - Wild Heart,,,,
367,【皆んなで大合唱幸せな結婚式】オー・シャンゼリゼ〈ネモ〉カバー,クラシック,,,
368,カブトムシ/King Gnu井口理×aikoコラボ(ハモリ練習用),J-POP,,,
369,Michael Bubl / It's a Beautiful Day (Japanese cover),洋楽,,,
370,【原作崩壊】aikoが歌うスピッツの『チェリー』,J-POP,,,
371,Michael Bubl - It's A Beautiful Day [Official Music Video] (New 4K Upgrade),洋楽,,,
372,YOASOBI - Racing Into The Night (Yoru ni Kakeru) / THE HOME TAKE,J-POP,,,
373,The End Of Evangelion - Komm Ssser Tod,,,,
374,I am a father (Music Video / ON THE ROAD 2005-2007 My First Love),,,,
375,Daniele Vidal  -　LES CHAMPS-ELYSEES -　(オー)シャンゼリゼ,,,,
376,「マイウェイ My Way」フランク・シナトラ、Frank Sinatra live,洋楽,,,
377,UNISON SQUARE GARDEN「シュガーソングとビターステップ」MV,J-POP,,,
378,【重音テト】右に曲ガール【オリジナル】,ボカロ,,,
379,平井 堅 『POP STAR』MUSIC VIDEO,アニメ,,,
380,[Deleted video],,,,削除/非公開
381,[Deleted video],,,,削除/非公開
382,[Deleted video],,,,削除/非公開
383,"UNISON SQUARE GARDEN ""Sugar song and Bitter step""",J-POP,,,
384,涼宮ハルヒの憂鬱 ハレ晴レユカイ 長門有希 バージョン,アニメ,,,
385,真赤な誓い　-　福山芳樹,,,,
386,RADWIMPS - We'll be alright [Official Music Video],J-POP,,,
387,視聴者と歌いたい男女の back number / 高嶺の花子さん 【高性能カラオケ】,J-POP,,,
388,【高嶺の花子さん/back number】ウタイスト,J-POP,,,
389,"""How to Sing Series"" back number/ Takane no Hanako-san",J-POP,,,
390,back number 『高嶺の花子さん』 Full cover by Kobasolo & Lefty Hand Cream,J-POP,,,
391,【ヨルシカ】負け犬にアンコールはいらない のベース弾いてみた【ちいぱん】,J-POP,,,
392,BUMP OF CHICKEN『魔法の料理 ～君から君へ～』,J-POP,,,
393,椎名林檎 - カーネーション,J-POP,,,
394,コブクロ - 蕾,,,,
395,【ウマすぎ注意】高嶺の花子さん/back number 鳥と馬が歌うシリーズ,J-POP,,,
396,【カラオケ】白日 - King Gnu【オフボーカル】,J-POP,,,
397,平井 堅　『グロテスク feat. 安室奈美恵 (MUSIC VIDEO YouTube ver.)』,,,,
398,平井 堅 『怪物さん feat.あいみょん』MUSIC VIDEO,J-POP,,,
399,King Gnu - 飛行艇,J-POP,,,
400,King Gnu - 傘  OFFICIAL AUDIO,J-POP,,,
401,King Gnu - どろん,J-POP,,,
402,King Gnu - Teenager Forever,J-POP,,,
403,心よ原始に戻れ 重低音Ver,,,,
404,EVANGELION - 心よ原始に戻れ,,,,
405,KANA-BOON (Maguro Taniguchi) × Necry Talkie (Mossa) - Naimononedari / THE FIRST TAKE,,,,
406,CHAI - N.E.O. - Official Music Video  (subtitled),,,,
407,Yorushika - Hitchcock (MUSIC VIDEO),J-POP,,,
408,Yorushika - The Clouds and the Ghost (MUSIC VIDEO),J-POP,,,
409,back number -「大不正解」Music Video (映画『銀魂2 掟は破るためにこそある』主題歌),J-POP,,,
410,"""Gurenge"" MUSiC CLiP (TV anime “Demon Slayer: Kimetsu no Yaiba” Opening theme）",アニメ,,,
411,"Yorushika - ""Say It."" (Music Video)",J-POP,,,
412,フレア/Superfly　NHK朝ドラ　スカーレット主題歌　歌い方講座　いくちゃんねる,J-POP,,,
413,米津玄師 - 海の幽霊  Kenshi Yonezu - Spirits of the Sea,J-POP,,,
414,千の風になって   秋川雅史,,,,
415,【歌い方】だから僕は音楽を辞めた / ヨルシカ（難易度A）【歌が上手くなる歌唱分析シリーズ】,J-POP,,,
416,Yorushika - That's Why I Gave Up on Music (MUSIC VIDEO),J-POP,,,
417,【歌い方】白日 / King Gnu （難易度S）【歌が上手くなる歌唱分析シリーズ】,J-POP,,,
418,Official髭男dism - 宿命［Official Video］,J-POP,,,
419,【男女が歌う】Pretenderから始まる令和ベストヒットメドレー ( 白日 - まちがいさがし - 馬と鹿 - 愛にできることはまだあるかい等)【アカペラver】,,,,
420,【ボイトレ】高い声を出す方法。独学で失敗したくない人はこのやり方がオススメ！,,,,
421,変化球をしらない夫婦が歌って演奏してみた【タッチ】,,,,
422,今日の日はさようなら,,,,
423,Kiss - Rock And Roll All Nite - Rocks Vegas,洋楽,,,
424,粉雪,,,,
425,Shakira - Try Everything (Official Video),,,,
426,The Monkees - Daydream Believer (Official Music Video),,,,
427,[Deleted video],,,,削除/非公開
